frame_time_s,rms,spectral_centroid_hz,spectral_bandwidth_hz,zcr,f0_hz
27.84,0.245482,1612.27,1989.22,0.0620117,198.822
27.904,0.204275,2513.76,2438.63,0.171875,196.632
27.968,0.145341,4365.33,2410.24,0.300293,195.152
28.032,0.117718,3805.9,2662.03,0.291016,194.095
28.096,0.0987339,3726.82,2586.21,0.307617,184.15
28.16,0.0851484,4009.9,2498.54,0.337402,196.814
28.224,0.147503,2534.33,2652.48,0.231445,197.206
28.288,0.152128,2600.9,2672.47,0.184082,200.786
28.352,0.0932876,2744.92,2728.23,0.176758,204.743
28.416,0.128774,2293.28,2114.03,0.137695,207.277
28.48,0.128706,3786.47,2603.27,0.346191,191.443
28.544,0.101394,4468.01,2553.35,0.428223,194.591
28.608,0.127329,2271.13,2559.63,0.186523,65.0531
28.672,0.143975,3121.98,2210.98,0.189453,131.026
28.736,0.139947,3723.41,2327.8,0.27002,65.3015
28.8,0.11753,3323.19,2410.64,0.208008,129.098
28.864,0.16302,2476.05,2433.4,0.133301,130.951
28.928,0.166718,1704.93,2240.63,0.0922852,187.648
28.992,0.0953786,2275.17,2426.57,0.0961914,189.11
29.056,0.0695493,1506.29,1975.8,0.0883789,197.221
29.12,0.153815,3121.98,2349.05,0.127441,205.151
29.184,0.192719,2856.71,2527.88,0.11084,192.292
29.248,0.185747,2887.61,2611.59,0.0766602,204.261
29.312,0.20887,1967.73,2341.16,0.0771484,207.068
29.376,0.2532,1685.65,2043.96,0.0488281,207.347
29.44,0.263186,1256.54,1898.45,0.0458984,197.215
29.504,0.210301,1855.74,2187.15,0.0688477,196.684
29.568,0.134829,2089.83,2361.47,0.0732422,196.298
29.632,0.105731,1432.72,1878.22,0.050293,200.625
29.696,0.199384,3128.11,2611.66,0.0839844,191.39
29.76,0.234184,2775.83,2634.05,0.102051,195.186
29.824,0.198912,2778.31,2570.95,0.0664062,196.649
29.888,0.216583,1141.37,1677.87,0.0571289,196.203
29.952,0.215125,1551.46,1985.98,0.0908203,196.081
30.016,0.15463,2880.02,2225.54,0.23584,193.594
30.08,0.103175,3555.72,2426.58,0.290039,139.245
30.144,0.074577,2622.42,2400.7,0.178223,65.5571
30.208,0.0566701,2167.17,2251.01,0.112305,197.624
30.272,0.102863,2568.72,2186.42,0.159668,195.882
